aaa	工
aab	医药卫生
aac	勤劳勇敢
aad	匿
aae	节节胜利
aaf	苷
aag	戒毒
aah	芽
aai	工党
aaj	工时
aak	戒
aal	东欧国家
aam	蘣
aan	苣
aao	工业
aap	工农
aaq	工贸
aar	芭蕾舞
aas	式样
aat	荛
aau	工资
aav	勤勤恳恳
aaw	工作
aax	警戒线
aay	式
aba	若隐若现
abb	 
abc	节能
abd	节奏
abe	荫
abf	茸
abg	蔯
abh	邛
abi	蒸
abj	节
abk	警卫员
abl	䓝
abm	茁
abn	芤
abo	节煤
abp	 
abq	蒸馏
abr	艿
abs	 
abt	蕯
abu	萨
abv	匜
abw	节俭
abx	节约
aby	芨
aca	茎
acb	芭
acc	茅台
acd	英勇奋斗
ace	蓪
acf	英勇献身
acg	节能型
ach	 
aci	茅台酒
acj	 
ack	苔
acl	䓿
acm	 
acn	茅
aco	䔍
acp	 
acq	功能键
acr	 
acs	 
act	戎马生涯
acu	英勇斗争
acv	 
acw	荾
acx	 
acy	芆
ada	葫芦
adb	苊
adc	蕻
add	基础
ade	戎
adf	苦
adg	葳
adh	荐
adi	藉
adj	若是
adk	若
adl	基因
adm	项
adn	藏
ado	基数
adp	其它
adq	基金
adr	巨大的
ads	基本
adt	期待
adu	芖
adv	基建
adw	基
adx	茂
ady	莽
aea	功臣
aeb	菔
aec	功能
aed	散布
aee	荔
aef	功夫
aeg	苴
aeh	散步
aei	散光
aej	薶
aek	茄
ael	菜园
aem	苏丹
aen	散发
aeo	功底
aep	菜农
aeq	功名
aer	藐
aes	菜
aet	功
aeu	藤
aev	荽
aew	苏
aex	功绩
aey	功率
afa	甘蔗
afb	邯
afc	芸
afd	甘
afe	劳动力
aff	芏
afg	东南亚
afh	某些
afi	蒜
afj	芉
afk	薹
afl	蕾
afm	贰
afn	苇
afo	䓇
afp	荸
afq	芜
afr	七十年代
afs	某
aft	著
afu	蔷
afv	甘肃
afw	芙
afx	区域经济
afy	或者说
aga	荆
agb	莱阳
agc	荎
agd	匡
age	莆
agf	芋
agg	七一
agh	廿
agi	花天酒地
agj	蕙
agk	蔌
agl	共青团
agm	芾
agn	七
ago	莱
agp	落到实处
agq	葬
agr	戒毒所
ags	茉
agt	廾
agu	苹
agv	萋
agw	董事会
agx	荑
agy	莱州
aha	蘧
ahb	 
ahc	 
ahd	菲
ahe	 
ahf	芷
ahg	菽
ahh	牙齿
ahi	芷江
ahj	䓬
ahk	熙
ahl	卧车
ahm	 
ahn	卧
aho	卧床
ahp	卧室
ahq	卧铺
ahr	邪气
ahs	 
