U+3400	㐀	hghg
U+3401	㐁	gmwg
U+3402	㐂	aaab
U+3403	㐃	lhk
U+3404	㐄	ahk
U+3405	㐅	rty
U+3406	㐆	rvnv
U+3407	㐇	vnb
U+3408	㐈	tynb
U+3409	㐉	snb
U+340A	㐊	fnb
U+340B	㐋	fnb
U+340C	㐌	tbb
U+340D	㐍	enb
U+340E	㐎	ynb
U+340F	㐏	gnb
U+3410	㐐	vcnb
U+3411	㐑	tunb
U+3412	㐒	vknb
U+3413	㐓	sknb
U+3414	㐔	yknb
U+3415	㐕	mnb
U+3416	㐖	fknn
U+3417	㐗	ftxn
U+3418	㐘	onb
U+3419	㐙	gkun
U+341A	㐚	gknb
U+341B	㐛	wdkn
U+341C	㐜	giyv
U+341D	㐝	rqkn
U+341E	㐞	adwn
U+341F	㐟	hdhn
U+3420	㐠	ebnn
U+3421	㐡	vdmd
U+3422	㐢	iebn
U+3423	㐣	olnv
U+3424	㐤	vfhw
U+3425	㐥	qegn
U+3426	㐦	egnn
U+3427	㐧	ynht
U+3428	㐨	cnhh
U+3429	㐩	fjfj
U+342A	㐪	ybwu
U+342B	㐫	yrbj
U+342C	㐬	yckb
U+342D	㐭	ylkf
U+342E	㐮	ywae
U+342F	㐯	ykkj
U+3430	㐰	wkg
U+3431	㐱	wer
U+3432	㐲	wdy
U+3433	㐳	wgqn
U+3434	㐴	wqy
U+3435	㐵	wgfh
U+3436	㐶	wnn
U+3437	㐷	wcgg
U+3438	㐸	wqwy
U+3439	㐹	wrnn
U+343A	㐺	wwwy
U+343B	㐻	wmwy
U+343C	㐼	wtah
U+343D	㐽	wwry
U+343E	㐾	wfqn
U+343F	㐿	wrh
U+3440	㑀	wdyy
U+3441	㑁	wbmh
U+3442	㑂	wgmw
U+3443	㑃	wxet
U+3444	㑄	wxy
U+3445	㑅	wthg
U+3446	㑆	wkqn
U+3447	㑇	wqvg
U+3448	㑈	waiy
U+3449	㑉	wwgq
U+344A	㑊	wyoy
U+344B	㑋	wmag
U+344C	㑌	wagg
U+344D	㑍	wdiy
U+344E	㑎	wvmh
U+344F	㑏	wpfy
U+3450	㑐	whgi
U+3451	㑑	wthg
U+3452	㑒	wgkw
U+3453	㑓	wcdc
U+3454	㑔	wdmy
U+3455	㑕	wmqy
U+3456	㑖	wwkh
U+3457	㑗	wtmt
U+3458	㑘	waah
U+3459	㑙	wbnn
U+345A	㑚	wngb
U+345B	㑛	wgki
U+345C	㑜	wrrh
U+345D	㑝	wgah
U+345E	㑞	woah
U+345F	㑟	wrgw
U+3460	㑠	wjcf
U+3461	㑡	wvcb
U+3462	㑢	wfcb
U+3463	㑣	wssy
U+3464	㑤	walg
U+3465	㑥	wjqr
U+3466	㑦	wyny
U+3467	㑧	wtbg
U+3468	㑨	wktd
U+3469	㑩	wlqy
U+346A	㑪	wyjg
U+346B	㑫	wwyn
U+346C	㑬	wvdg
U+346D	㑭	wlgj
U+346E	㑮	wplh
U+346F	㑯	wdmy
U+3470	㑰	wxge
U+3471	㑱	wcns
U+3472	㑲	wfmf
U+3473	㑳	wqbt
U+3474	㑴	wvpc
U+3475	㑵	wutd
U+3476	㑶	wrno
U+3477	㑷	wcex
U+3478	㑸	wdsk
U+3479	㑹	wgmj
U+347A	㑺	wwyb
U+347B	㑻	wpnm
U+347C	㑼	wltk
U+347D	㑽	wipf
U+347E	㑾	wqyg
U+347F	㑿	wvjs
U+3480	㒀	wyud
U+3481	㒁	wlff
U+3482	㒂	wafj
U+3483	㒃	wafy
U+3484	㒄	wqdo
U+3485	㒅	wyqe
U+3486	㒆	wwgn
U+3487	㒇	wrlo
U+3488	㒈	wnbt
U+3489	㒉	wips
U+348A	㒊	wvyh
U+348B	㒋	wadr
U+348C	㒌	woow
U+348D	㒍	wcci
U+348E	㒎	wgdd
U+348F	㒏	wpau
U+3490	㒐	wtqj
U+3491	㒑	waiy
U+3492	㒒	wogi
U+3493	㒓	wfup
U+3494	㒔	wlqj
U+3495	㒕	wyxy
U+3496	㒖	wajy
U+3497	㒗	waff
U+3498	㒘	wahu
U+3499	㒙	wxrh
U+349A	㒚	wean
U+349B	㒛	wnwy
U+349C	㒜	wegw
U+349D	㒝	waly
U+349E	㒞	wmwm
U+349F	㒟	wyce
U+34A0	㒠	whqg
U+34A1	㒡	weri
U+34A2	㒢	wwga
U+34A3	㒣	wown
U+34A4	㒤	wbbb
U+34A5	㒥	wmdu
U+34A6	㒦	wllf
U+34A7	㒧	wyry
U+34A8	㒨	wetn
U+34A9	㒩	wxgj
U+34AA	㒪	wahe
U+34AB	㒫	ghfq
U+34AC	㒬	fqgd
U+34AD	㒭	kqkq
U+34AE	㒮	fqge
U+34AF	㒯	igqf
U+34B0	㒰	tyaf
U+34B1	㒱	tyqu
U+34B2	㒲	tyjf
U+34B3	㒳	mhty
U+34B4	㒴	tybm
U+34B5	㒵	rwu
U+34B6	㒶	wrf
U+34B7	㒷	mwgw
U+34B8	㒸	ueu
U+34B9	㒹	fhww
U+34BA	㒺	muwn
U+34BB	㒻	jhqb
U+34BC	㒼	amhy
U+34BD	㒽	judb
U+34BE	㒾	jytb
U+34BF	㒿	jyry
U+34C0	㓀	phu
U+34C1	㓁	pwu
U+34C2	㓂	pfqv
U+34C3	㓃	pyta
U+34C4	㓄	cccq
U+34C5	㓅	ush
U+34C6	㓆	uwxn
U+34C7	㓇	utdy
U+34C8	㓈	udg
U+34C9	㓉	utdg
U+34CA	㓊	umgk
U+34CB	㓋	uawy
