U+20000	𠀀	ghab
U+20001	𠀁	gnv
U+20002	𠀂	gnb
U+20003	𠀃	mgd
U+20004	𠀄	nhgd
U+20005	𠀅	gnte
U+20006	𠀆	tfk
U+20007	𠀇	mfd
U+20008	𠀈	wngd
U+20009	𠀉	wfd
U+2000A	𠀊	dhyu
U+2000B	𠀋	dyyi
U+2000C	𠀌	nghg
U+2000D	𠀍	anv
U+2000E	𠀎	aggg
U+2000F	𠀏	gbng
U+20010	𠀐	khgd
U+20011	𠀑	gmqv
U+20012	𠀒	gwgn
U+20013	𠀓	xhgf
U+20014	𠀔	gntw
U+20015	𠀕	gxyg
U+20016	𠀖	ayu
U+20017	𠀗	atr
U+20018	𠀘	gqgq
U+20019	𠀙	gmgm
U+2001A	𠀚	gciu
U+2001B	𠀛	fmwi
U+2001C	𠀜	gogd
U+2001D	𠀝	ghhg
U+2001E	𠀞	ghnn
U+2001F	𠀟	gnni
U+20020	𠀠	ari
U+20021	𠀡	gtfq
U+20022	𠀢	ghxb
U+20023	𠀣	gwhg
U+20024	𠀤	ddgf
U+20025	𠀥	ghjg
U+20026	𠀦	gyth
U+20027	𠀧	cdd
U+20028	𠀨	ghby
U+20029	𠀩	gwgs
U+2002A	𠀪	adyu
U+2002B	𠀫	adtr
U+2002C	𠀬	gmwg
U+2002D	𠀭	tonb
U+2002E	𠀮	gwlr
U+2002F	𠀯	gliu
U+20030	𠀰	dhit
U+20031	𠀱	dhwr
U+20032	𠀲	sqqy
U+20033	𠀳	nywh
U+20034	𠀴	bmgh
U+20035	𠀵	smgr
U+20036	𠀶	dhrw
U+20037	𠀷	gkma
U+20038	𠀸	gmtn
U+20039	𠀹	gwmk
U+2003A	𠀺	gwiw
U+2003B	𠀻	fqjn
U+2003C	𠀼	dhru
U+2003D	𠀽	gmhy
U+2003E	𠀾	dhwc
U+2003F	𠀿	ghkw
U+20040	𠁀	anwy
U+20041	𠁁	nngg
U+20042	𠁂	ftjs
U+20043	𠁃	dhgi
U+20044	𠁄	wgmh
U+20045	𠁅	gnty
U+20046	𠁆	dhfh
U+20047	𠁇	dhpg
U+20048	𠁈	ghwk
U+20049	𠁉	gwrg
U+2004A	𠁊	gwwd
U+2004B	𠁋	dhgi
U+2004C	𠁌	dhbb
U+2004D	𠁍	dhud
U+2004E	𠁎	lpgh
U+2004F	𠁏	gkpg
U+20050	𠁐	gkmg
U+20051	𠁑	aqph
U+20052	𠁒	dhfw
U+20053	𠁓	dhww
U+20054	𠁔	uogn
U+20055	𠁕	gkhg
U+20056	𠁖	gmyh
U+20057	𠁗	fdjd
U+20058	𠁘	gwlo
U+20059	𠁙	dhyf
U+2005A	𠁚	ghwj
U+2005B	𠁛	dhup
U+2005C	𠁜	uoge
U+2005D	𠁝	uogy
U+2005E	𠁞	dhwj
U+2005F	𠁟	uogo
U+20060	𠁠	egeg
U+20061	𠁡	hnv
