U+2A700	𪜀	fnv
U+2A701	𪜁	gbj
U+2A702	𪜂	gvyu
U+2A703	𪜃	gkvn
U+2A704	𪜄	dhsk
U+2A705	𪜅	sufj
U+2A706	𪜆	gxxg
U+2A707	𪜇	gqww
U+2A708	𪜈	hgan
U+2A709	𪜉	khgf
U+2A70A	𪜊	ynv
U+2A70B	𪜋	ygat
U+2A70C	𪜌	bjd
U+2A70D	𪜍	tfqi
U+2A70E	𪜎	tdjw
U+2A70F	𪜏	tdut
U+2A710	𪜐	nwxv
U+2A711	𪜑	gsnb
U+2A712	𪜒	nfkd
U+2A713	𪜓	wtgn
U+2A714	𪜔	vmad
U+2A715	𪜕	ftjn
U+2A716	𪜖	nfmd
U+2A717	𪜗	vakg
U+2A718	𪜘	dhcn
U+2A719	𪜙	vdja
U+2A71A	𪜚	istn
U+2A71B	𪜛	ebnh
U+2A71C	𪜜	uxbh
U+2A71D	𪜝	cnhw
U+2A71E	𪜞	fcdt
U+2A71F	𪜟	ykbc
U+2A720	𪜠	ywyu
U+2A721	𪜡	hgta
U+2A722	𪜢	yhjf
U+2A723	𪜣	ywcy
U+2A724	𪜤	ywwy
U+2A725	𪜥	ylkh
U+2A726	𪜦	ykpl
U+2A727	𪜧	wry
U+2A728	𪜨	wgvg
U+2A729	𪜩	wqcy
U+2A72A	𪜪	wqxn
U+2A72B	𪜫	wnhf
U+2A72C	𪜬	wfiu
U+2A72D	𪜭	wmng
U+2A72E	𪜮	whg
U+2A72F	𪜯	wket
U+2A730	𪜰	wty
U+2A731	𪜱	wtu
U+2A732	𪜲	wryy
U+2A733	𪜳	wnan
U+2A734	𪜴	wxcy
U+2A735	𪜵	wxjg
U+2A736	𪜶	wldy
U+2A737	𪜷	wbsy
U+2A738	𪜸	wpbg
U+2A739	𪜹	wnt
U+2A73A	𪜺	wxfy
U+2A73B	𪜻	wfoy
U+2A73C	𪜼	wahg
U+2A73D	𪜽	wjff
U+2A73E	𪜾	wege
U+2A73F	𪜿	wjvg
U+2A740	𪝀	wqeh
U+2A741	𪝁	wbkx
U+2A742	𪝂	wyjg
U+2A743	𪝃	wgsy
U+2A744	𪝄	wdun
U+2A745	𪝅	wsty
U+2A746	𪝆	wayt
U+2A747	𪝇	whmt
U+2A748	𪝈	wepc
U+2A749	𪝉	wtsy
U+2A74A	𪝊	woqg
U+2A74B	𪝋	wshg
U+2A74C	𪝌	walg
U+2A74D	𪝍	wdeg
U+2A74E	𪝎	wswc
U+2A74F	𪝏	waqk
U+2A750	𪝐	wdjb
U+2A751	𪝑	wjlg
U+2A752	𪝒	wwdc
U+2A753	𪝓	wwae
U+2A754	𪝔	wqbn
U+2A755	𪝕	wwvl
U+2A756	𪝖	wamy
U+2A757	𪝗	swwq
U+2A758	𪝘	wdep
U+2A759	𪝙	wfcl
U+2A75A	𪝚	wjiq
U+2A75B	𪝛	wrvc
U+2A75C	𪝜	wwnh
U+2A75D	𪝝	weud
U+2A75E	𪝞	wuwl
U+2A75F	𪝟	wxrr
U+2A760	𪝠	wlay
U+2A761	𪝡	wajd
U+2A762	𪝢	wlye
U+2A763	𪝣	wpdk
U+2A764	𪝤	wpgw
U+2A765	𪝥	wdmj
U+2A766	𪝦	wfkk
U+2A767	𪝧	wjoo
U+2A768	𪝨	wqao
U+2A769	𪝩	wugh
U+2A76A	𪝪	wnhh
U+2A76B	𪝫	wgoc
U+2A76C	𪝬	wdyf
U+2A76D	𪝭	whad
U+2A76E	𪝮	wytq
U+2A76F	𪝯	wujf
U+2A770	𪝰	wgco
U+2A771	𪝱	wmwh
U+2A772	𪝲	towg
U+2A773	𪝳	wiaw
U+2A774	𪝴	wsdp
U+2A775	𪝵	wqyj
U+2A776	𪝶	wynf
