U+31350	𱍐	fkb
U+31351	𱍑	fcgf
U+31352	𱍒	smdy
U+31353	𱍓	dtgp
U+31354	𱍔	ghdy
U+31355	𱍕	dwwi
U+31356	𱍖	udgh
U+31357	𱍗	giuc
U+31358	𱍘	tfcr
U+31359	𱍙	imks
U+3135A	𱍚	dhqq
U+3135B	𱍛	dhwk
U+3135C	𱍜	wwkh
U+3135D	𱍝	pfqh
U+3135E	𱍞	oguw
U+3135F	𱍟	gngn
U+31360	𱍠	kkkh
U+31361	𱍡	dhuh
U+31362	𱍢	dqqs
U+31363	𱍣	qtgc
U+31364	𱍤	dhjh
U+31365	𱍥	agkg
U+31366	𱍦	anyy
U+31367	𱍧	vakh
U+31368	𱍨	akfg
U+31369	𱍩	hgfj
U+3136A	𱍪	gmyc
U+3136B	𱍫	hngd
U+3136C	𱍬	jmwy
U+3136D	𱍭	jvey
U+3136E	𱍮	jycq
U+3136F	𱍯	jmgk
U+31370	𱍰	jgog
U+31371	𱍱	jmum
U+31372	𱍲	jrmh
U+31373	𱍳	jajg
U+31374	𱍴	jugv
U+31375	𱍵	juvo
U+31376	𱍶	jono
U+31377	𱍷	jcy
U+31378	𱍸	qyi
U+31379	𱍹	byi
U+3137A	𱍺	tdnb
U+3137B	𱍻	fpd
U+3137C	𱍼	whqg
U+3137D	𱍽	dmpy
U+3137E	𱍾	cwyy
U+3137F	𱍿	lvqy
U+31380	𱎀	nvd
U+31381	𱎁	dhnv
U+31382	𱎂	vywi
U+31383	𱎃	nibe
U+31384	𱎄	nivd
U+31385	𱎅	ntkd
U+31386	𱎆	nqeh
U+31387	𱎇	nhdd
U+31388	𱎈	nshd
U+31389	𱎉	nbbk
U+3138A	𱎊	tonb
U+3138B	𱎋	nyvb
U+3138C	𱎌	ngkp
U+3138D	𱎍	nief
U+3138E	𱎎	iaen
U+3138F	𱎏	umib
U+31390	𱎐	yjqn
U+31391	𱎑	gkvc
U+31392	𱎒	gmff
U+31393	𱎓	frrt
U+31394	𱎔	ckay
U+31395	𱎕	ffwy
U+31396	𱎖	gfmf
U+31397	𱎗	ytny
U+31398	𱎘	ycag
U+31399	𱎙	ykpq
U+3139A	𱎚	wrr
U+3139B	𱎛	wff
U+3139C	𱎜	wghu
U+3139D	𱎝	wynn
U+3139E	𱎞	wbgg
U+3139F	𱎟	wnrt
U+313A0	𱎠	fjwi
U+313A1	𱎡	wmy
U+313A2	𱎢	whbh
U+313A3	𱎣	wwwi
U+313A4	𱎤	wwfg
U+313A5	𱎥	wrj
U+313A6	𱎦	wygh
U+313A7	𱎧	wbnn
U+313A8	𱎨	wwag
U+313A9	𱎩	wtdn
U+313AA	𱎪	wcgh
U+313AB	𱎫	wgog
U+313AC	𱎬	wrmh
U+313AD	𱎭	wvbg
U+313AE	𱎮	wgjg
U+313AF	𱎯	wkmy
U+313B0	𱎰	wjfg
U+313B1	𱎱	wynn
U+313B2	𱎲	wbhc
U+313B3	𱎳	wheg
U+313B4	𱎴	wmun
U+313B5	𱎵	wjtf
U+313B6	𱎶	wmai
U+313B7	𱎷	hxww
U+313B8	𱎸	wqbp
U+313B9	𱎹	wugc
U+313BA	𱎺	wblg
U+313BB	𱎻	wgsh
U+313BC	𱎼	wakf
U+313BD	𱎽	wriy
U+313BE	𱎾	wudg
U+313BF	𱎿	wgoj
U+313C0	𱏀	wgon
U+313C1	𱏁	wawc
U+313C2	𱏂	wufj
U+313C3	𱏃	wyve
U+313C4	𱏄	wpdk
U+313C5	𱏅	wfkg
U+313C6	𱏆	wmmv
U+313C7	𱏇	wksr
U+313C8	𱏈	wtsg
U+313C9	𱏉	wwev
U+313CA	𱏊	wutg
U+313CB	𱏋	wodn
U+313CC	𱏌	waqj
U+313CD	𱏍	wdcw
U+313CE	𱏎	fpbj
U+313CF	𱏏	jfws
U+313D0	𱏐	wipm
U+313D1	𱏑	whxi
U+313D2	𱏒	wqqw
U+313D3	𱏓	wugi
U+313D4	𱏔	wgkm
U+313D5	𱏕	wwve
U+313D6	𱏖	wele
U+313D7	𱏗	wyvc
U+313D8	𱏘	wksl
U+313D9	𱏙	wksi
U+313DA	𱏚	wqan
U+313DB	𱏛	wksm
U+313DC	𱏜	wqxg
U+313DD	𱏝	wqas
U+313DE	𱏞	whwm
U+313DF	𱏟	wksm
U+313E0	𱏠	wogh
U+313E1	𱏡	wtfm
U+313E2	𱏢	wwwn
U+313E3	𱏣	wyxj
U+313E4	𱏤	dhiq
U+313E5	𱏥	oqaq
U+313E6	𱏦	igqu
U+313E7	𱏧	riqb
U+313E8	𱏨	yokq
U+313E9	𱏩	igqf
U+313EA	𱏪	adwq
U+313EB	𱏫	ruxq
U+313EC	𱏬	uekq
U+313ED	𱏭	jgqq
U+313EE	𱏮	igqe
U+313EF	𱏯	ltkq
U+313F0	𱏰	igql
U+313F1	𱏱	tyub
U+313F2	𱏲	wkcb
U+313F3	𱏳	ywhy
U+313F4	𱏴	uawu
U+313F5	𱏵	mgkw
U+313F6	𱏶	hwdg
U+313F7	𱏷	awaw
U+313F8	𱏸	wcuj
