U+2EBF0	𮯰	gjgf
U+2EBF1	𮯱	etny
U+2EBF2	𮯲	rnv
U+2EBF3	𮯳	yooo
U+2EBF4	𮯴	wqn
U+2EBF5	𮯵	wgqt
U+2EBF6	𮯶	wnn
U+2EBF7	𮯷	wcyy
U+2EBF8	𮯸	wdet
U+2EBF9	𮯹	wwcy
U+2EBFA	𮯺	wagn
U+2EBFB	𮯻	wcfg
U+2EBFC	𮯼	wsoy
U+2EBFD	𮯽	wjgd
U+2EBFE	𮯾	wbib
U+2EBFF	𮯿	wgee
U+2EC00	𮰀	wdff
U+2EC01	𮰁	wtjt
U+2EC02	𮰂	wgki
U+2EC03	𮰃	tyfb
U+2EC04	𮰄	pdxy
U+2EC05	𮰅	pwss
U+2EC06	𮰆	uxn
U+2EC07	𮰇	urgh
U+2EC08	𮰈	uaft
U+2EC09	𮰉	ucgw
U+2EC0A	𮰊	fown
U+2EC0B	𮰋	xrxw
U+2EC0C	𮰌	dejh
U+2EC0D	𮰍	diet
U+2EC0E	𮰎	ehaw
U+2EC0F	𮰏	feqn
U+2EC10	𮰐	fhxq
U+2EC11	𮰑	divd
U+2EC12	𮰒	dwwv
U+2EC13	𮰓	cnwy
U+2EC14	𮰔	kfnh
U+2EC15	𮰕	tfkh
U+2EC16	𮰖	kujy
U+2EC17	𮰗	kjym
U+2EC18	𮰘	ltkd
U+2EC19	𮰙	nfd
U+2EC1A	𮰚	fcyy
U+2EC1B	𮰛	fwfg
U+2EC1C	𮰜	fubh
U+2EC1D	𮰝	svff
U+2EC1E	𮰞	fqkg
U+2EC1F	𮰟	yoff
U+2EC20	𮰠	inrf
U+2EC21	𮰡	igwf
U+2EC22	𮰢	fgty
U+2EC23	𮰣	fyff
U+2EC24	𮰤	fhdy
U+2EC25	𮰥	fqmd
U+2EC26	𮰦	fdwd
U+2EC27	𮰧	fjug
U+2EC28	𮰨	fhjs
U+2EC29	𮰩	faya
U+2EC2A	𮰪	frqq
U+2EC2B	𮰫	fodn
U+2EC2C	𮰬	fjge
U+2EC2D	𮰭	fadn
U+2EC2E	𮰮	fmae
U+2EC2F	𮰯	fajl
U+2EC30	𮰰	faj
U+2EC31	𮰱	fkft
U+2EC32	𮰲	fqiu
U+2EC33	𮰳	gogt
U+2EC34	𮰴	igdu
U+2EC35	𮰵	dfkf
U+2EC36	𮰶	uodu
U+2EC37	𮰷	vgnn
U+2EC38	𮰸	vryy
U+2EC39	𮰹	vgbn
U+2EC3A	𮰺	vqbh
U+2EC3B	𮰻	vwcy
U+2EC3C	𮰼	dhvr
U+2EC3D	𮰽	vtni
U+2EC3E	𮰾	vudg
U+2EC3F	𮰿	vgud
U+2EC40	𮱀	vtgs
U+2EC41	𮱁	vnyu
U+2EC42	𮱂	nvf
U+2EC43	𮱃	vlkg
U+2EC44	𮱄	vlfq
U+2EC45	𮱅	evr
U+2EC46	𮱆	vuyy
U+2EC47	𮱇	vlph
U+2EC48	𮱈	vgny
U+2EC49	𮱉	vdyn
U+2EC4A	𮱊	vlqy
U+2EC4B	𮱋	vrde
U+2EC4C	𮱌	oovt
U+2EC4D	𮱍	vvcb
U+2EC4E	𮱎	vdjb
U+2EC4F	𮱏	vqvn
U+2EC50	𮱐	vyox
U+2EC51	𮱑	dhqv
U+2EC52	𮱒	vqye
U+2EC53	𮱓	vyrc
U+2EC54	𮱔	vagw
U+2EC55	𮱕	vapy
U+2EC56	𮱖	vssq
U+2EC57	𮱗	vjde
U+2EC58	𮱘	vujf
U+2EC59	𮱙	vgeh
U+2EC5A	𮱚	vhal
U+2EC5B	𮱛	vfkk
U+2EC5C	𮱜	ysbf
U+2EC5D	𮱝	bthn
U+2EC5E	𮱞	pdnb
U+2EC5F	𮱟	pyu
U+2EC60	𮱠	pwyk
U+2EC61	𮱡	ibf
U+2EC62	𮱢	idkf
U+2EC63	𮱣	gqkw
U+2EC64	𮱤	mwbn
U+2EC65	𮱥	mngr
U+2EC66	𮱦	mwcu
U+2EC67	𮱧	mway
U+2EC68	𮱨	mbf
U+2EC69	𮱩	mplf
U+2EC6A	𮱪	mwai
U+2EC6B	𮱫	mrgw
U+2EC6C	𮱬	mqty
U+2EC6D	𮱭	mmwc
U+2EC6E	𮱮	mwgb
U+2EC6F	𮱯	mulg
U+2EC70	𮱰	mssh
U+2EC71	𮱱	mwwo
U+2EC72	𮱲	myuj
U+2EC73	𮱳	wxmh
U+2EC74	𮱴	xqcy
U+2EC75	𮱵	xtdj
U+2EC76	𮱶	xwgg
U+2EC77	𮱷	xpvt
U+2EC78	𮱸	xxyy
U+2EC79	𮱹	mmget
U+2EC7A	𮱺	ttbn
U+2EC7B	𮱻	tcfg
U+2EC7C	𮱼	twth
U+2EC7D	𮱽	tlny
U+2EC7E	𮱾	tggn
U+2EC7F	𮱿	nqyy
U+2EC80	𮲀	nmy
U+2EC81	𮲁	nmqn
U+2EC82	𮲂	nwry
U+2EC83	𮲃	ntni
U+2EC84	𮲄	fcen
U+2EC85	𮲅	nhmy
U+2EC86	𮲆	gehn
U+2EC87	𮲇	nlgy
U+2EC88	𮲈	nyvb
U+2EC89	𮲉	nnhg
U+2EC8A	𮲊	nfke
U+2EC8B	𮲋	nwyb
U+2EC8C	𮲌	djfa
U+2EC8D	𮲍	dakf
U+2EC8E	𮲎	ddmy
U+2EC8F	𮲏	rgah
U+2EC90	𮲐	rvyc
U+2EC91	𮲑	rqkn
U+2EC92	𮲒	ynkr
U+2EC93	𮲓	mty
U+2EC94	𮲔	mnty
U+2EC95	𮲕	ylty
U+2EC96	𮲖	lyu
U+2EC97	𮲗	jjyu
U+2EC98	𮲘	yjrh
U+2EC99	𮲙	yqg
U+2EC9A	𮲚	jgqt
U+2EC9B	𮲛	jryy
U+2EC9C	𮲜	jay
U+2EC9D	𮲝	jtdy
U+2EC9E	𮲞	jsgf
U+2EC9F	𮲟	jdmy
U+2ECA0	𮲠	jpgf
U+2ECA1	𮲡	jawu
U+2ECA2	𮲢	jyeu
U+2ECA3	𮲣	jmyy
U+2ECA4	𮲤	jqf
U+2ECA5	𮲥	jyks
U+2ECA6	𮲦	jehc
U+2ECA7	𮲧	jmth
U+2ECA8	𮲨	jprw
U+2ECA9	𮲩	japy
U+2ECAA	𮲪	ewfh
U+2ECAB	𮲫	etfq
