U+323B0	𲎰	dnv
U+323B1	𲎱	anv
U+323B2	𲎲	dmb
U+323B3	𲎳	dddf
U+323B4	𲎴	ukqh
U+323B5	𲎵	dkdj
U+323B6	𲎶	dhff
U+323B7	𲎷	tfcq
U+323B8	𲎸	dhfe
U+323B9	𲎹	hgwb
U+323BA	𲎺	tdhj
U+323BB	𲎻	jfay
U+323BC	𲎼	wwkh
U+323BD	𲎽	khee
U+323BE	𲎾	kkhp
U+323BF	𲎿	rbn
U+323C0	𲏀	tkhu
U+323C1	𲏁	byhu
U+323C2	𲏂	sjch
U+323C3	𲏃	tfww
U+323C4	𲏄	odqy
U+323C5	𲏅	qlwq
U+323C6	𲏆	tnv
U+323C7	𲏇	nui
U+323C8	𲏈	inb
U+323C9	𲏉	qynb
U+323CA	𲏊	nnhg
U+323CB	𲏋	fwnb
U+323CC	𲏌	ngxi
U+323CD	𲏍	itnb
U+323CE	𲏎	wjnb
U+323CF	𲏏	wvnb
U+323D0	𲏐	qrnb
U+323D1	𲏑	nbnv
U+323D2	𲏒	nnxu
U+323D3	𲏓	nguf
U+323D4	𲏔	dnb
U+323D5	𲏕	finb
U+323D6	𲏖	dknb
U+323D7	𲏗	kxnb
U+323D8	𲏘	nhnn
U+323D9	𲏙	qknb
U+323DA	𲏚	wayn
U+323DB	𲏛	nxi
U+323DC	𲏜	qqnb
U+323DD	𲏝	shnb
U+323DE	𲏞	hxnb
U+323DF	𲏟	rinb
U+323E0	𲏠	qahn
U+323E1	𲏡	venb
U+323E2	𲏢	giyn
U+323E3	𲏣	fpbn
U+323E4	𲏤	wgsn
U+323E5	𲏥	tsnb
U+323E6	𲏦	ntfn
U+323E7	𲏧	tqrn
U+323E8	𲏨	tfan
U+323E9	𲏩	ndnb
U+323EA	𲏪	bskn
U+323EB	𲏫	fcpn
U+323EC	𲏬	aekn
U+323ED	𲏭	ithn
U+323EE	𲏮	jvkn
U+323EF	𲏯	nutn
U+323F0	𲏰	ajfn
U+323F1	𲏱	menb
U+323F2	𲏲	whtn
U+323F3	𲏳	ebnh
U+323F4	𲏴	ykmn
U+323F5	𲏵	yxyn
U+323F6	𲏶	lxin
U+323F7	𲏷	lebn
U+323F8	𲏸	tbsf
U+323F9	𲏹	rlgn
U+323FA	𲏺	yygn
U+323FB	𲏻	wgkn
U+323FC	𲏼	jvkn
U+323FD	𲏽	ebnn
U+323FE	𲏾	uthn
U+323FF	𲏿	ebnh
U+32400	𲐀	ebnh
U+32401	𲐁	dibh
U+32402	𲐂	fmj
U+32403	𲐃	fdjf
U+32404	𲐄	fccb
U+32405	𲐅	qrfc
U+32406	𲐆	fhdd
U+32407	𲐇	gogi
U+32408	𲐈	fcfc
U+32409	𲐉	gact
U+3240A	𲐊	fyto
U+3240B	𲐋	gief
U+3240C	𲐌	yjcu
U+3240D	𲐍	ywks
U+3240E	𲐎	ylsu
U+3240F	𲐏	ywtn
U+32410	𲐐	ypkk
U+32411	𲐑	ynie
U+32412	𲐒	ykpq
U+32413	𲐓	ytmt
U+32414	𲐔	ynlx
U+32415	𲐕	wghh
U+32416	𲐖	bwy
U+32417	𲐗	wfnb
U+32418	𲐘	wavt
U+32419	𲐙	wsu
U+3241A	𲐚	wfwu
U+3241B	𲐛	wmhn
U+3241C	𲐜	whqw
U+3241D	𲐝	wmsh
U+3241E	𲐞	wqtb
U+3241F	𲐟	xwuu
U+32420	𲐠	wagd
U+32421	𲐡	wsg
U+32422	𲐢	wwcw
U+32423	𲐣	hnmn
U+32424	𲐤	wmwk
U+32425	𲐥	wjfh
U+32426	𲐦	wbtg
U+32427	𲐧	wbeg
U+32428	𲐨	wyck
U+32429	𲐩	wynx
U+3242A	𲐪	wbeg
U+3242B	𲐫	wvyn
U+3242C	𲐬	ghww
U+3242D	𲐭	wpyf
U+3242E	𲐮	anwy
U+3242F	𲐯	wmdg
U+32430	𲐰	wtgi
U+32431	𲐱	wtfh
U+32432	𲐲	wovw
U+32433	𲐳	wxbg
U+32434	𲐴	wdae
U+32435	𲐵	wdcc
U+32436	𲐶	wdyl
U+32437	𲐷	wjug
U+32438	𲐸	wleg
U+32439	𲐹	wmsg
U+3243A	𲐺	wwga
U+3243B	𲐻	wqmd
U+3243C	𲐼	wbwg
U+3243D	𲐽	wpff
U+3243E	𲐾	wugd
U+3243F	𲐿	woac
U+32440	𲑀	weks
U+32441	𲑁	waky
U+32442	𲑂	wyne
U+32443	𲑃	whtg
U+32444	𲑄	wjgh
U+32445	𲑅	ywwf
U+32446	𲑆	wudo
U+32447	𲑇	wadf
U+32448	𲑈	wahf
U+32449	𲑉	fpbd
U+3244A	𲑊	whmk
U+3244B	𲑋	wiph
U+3244C	𲑌	wtfp
U+3244D	𲑍	wukb
U+3244E	𲑎	wskg
U+3244F	𲑏	wwww
U+32450	𲑐	wxdx
U+32451	𲑑	wbtg
U+32452	𲑒	wvfg
U+32453	𲑓	wflg
U+32454	𲑔	wake
U+32455	𲑕	wlff
U+32456	𲑖	wyek
U+32457	𲑗	wuep
U+32458	𲑘	wkki
U+32459	𲑙	wyje
U+3245A	𲑚	wukw
U+3245B	𲑛	wnlv
U+3245C	𲑜	wakf
U+3245D	𲑝	wafe
U+3245E	𲑞	wmaa
U+3245F	𲑟	wpjc
U+32460	𲑠	wuec
U+32461	𲑡	wojf
U+32462	𲑢	wgka
U+32463	𲑣	fhwd
U+32464	𲑤	wakm
U+32465	𲑥	wqrh
U+32466	𲑦	wsly
U+32467	𲑧	wmdt
U+32468	𲑨	wqaj
U+32469	𲑩	gmwa
U+3246A	𲑪	wfkw
U+3246B	𲑫	wukn
U+3246C	𲑬	igqy
U+3246D	𲑭	igqh
U+3246E	𲑮	qiwv
U+3246F	𲑯	igqe
U+32470	𲑰	atgk
U+32471	𲑱	igqe
U+32472	𲑲	igqj
U+32473	𲑳	igqw
U+32474	𲑴	igqe
U+32475	𲑵	igqs
U+32476	𲑶	gqtq
U+32477	𲑷	igqj
U+32478	𲑸	tfqx
U+32479	𲑹	eqfq
U+3247A	𲑺	gdky
U+3247B	𲑻	tyul
U+3247C	𲑼	towg
U+3247D	𲑽	tyof
U+3247E	𲑾	ubj
U+3247F	𲑿	ekwu
U+32480	𲒀	adwc
U+32481	𲒁	ovyw
U+32482	𲒂	sfhw
U+32483	𲒃	ufwv
U+32484	𲒄	mwww
U+32485	𲒅	mwgk
U+32486	𲒆	mvfj
U+32487	𲒇	pwu
U+32488	𲒈	pfcu
U+32489	𲒉	phu
U+3248A	𲒊	pwqq
U+3248B	𲒋	uqy
U+3248C	𲒌	uag
U+3248D	𲒍	uriy
U+3248E	𲒎	ugty
U+3248F	𲒏	ugjr
U+32490	𲒐	ukhy
U+32491	𲒑	uwyk
U+32492	𲒒	uwfk
U+32493	𲒓	uudj
U+32494	𲒔	uugd
U+32495	𲒕	uvgj
U+32496	𲒖	uwyx
U+32497	𲒗	usfi
U+32498	𲒘	ulxi
U+32499	𲒙	uwym
U+3249A	𲒚	uywa
U+3249B	𲒛	pawj
U+3249C	𲒜	uwyk
U+3249D	𲒝	uylq
U+3249E	𲒞	whk
U+3249F	𲒟	twow
U+324A0	𲒠	cbmj
U+324A1	𲒡	rbty
U+324A2	𲒢	bmny
U+324A3	𲒣	bmly
U+324A4	𲒤	hjh
U+324A5	𲒥	ljh
U+324A6	𲒦	tmkj
U+324A7	𲒧	ovt
U+324A8	𲒨	gkiv
U+324A9	𲒩	vrrj
U+324AA	𲒪	rrvr
U+324AB	𲒫	mwyj
U+324AC	𲒬	hwbj
U+324AD	𲒭	tgvj
U+324AE	𲒮	njgv
U+324AF	𲒯	kkkj
U+324B0	𲒰	tjwv
U+324B1	𲒱	eckv
U+324B2	𲒲	pwtj
U+324B3	𲒳	hatj
U+324B4	𲒴	iiij
U+324B5	𲒵	mumh
U+324B6	𲒶	fljh
U+324B7	𲒷	tfqj
U+324B8	𲒸	yrbv
U+324B9	𲒹	ijtj
U+324BA	𲒺	gjgj
U+324BB	𲒻	atuj
U+324BC	𲒼	teej
U+324BD	𲒽	qiej
U+324BE	𲒾	wgkv
U+324BF	𲒿	qojj
U+324C0	𲓀	aduj
U+324C1	𲓁	mume
U+324C2	𲓂	hxeb
U+324C3	𲓃	wgke
U+324C4	𲓄	awwe
U+324C5	𲓅	jjen
U+324C6	𲓆	sven
U+324C7	𲓇	goge
U+324C8	𲓈	egeb
U+324C9	𲓉	gote
U+324CA	𲓊	etxt
U+324CB	𲓋	tlre
U+324CC	𲓌	bhhe
U+324CD	𲓍	fufe
U+324CE	𲓎	apef
U+324CF	𲓏	tfqe
U+324D0	𲓐	thae
U+324D1	𲓑	qtdd
U+324D2	𲓒	qrgh
U+324D3	𲓓	qyye
U+324D4	𲓔	iftr
U+324D5	𲓕	qrwj
U+324D6	𲓖	qret
U+324D7	𲓗	qraj
U+324D8	𲓘	pasb
U+324D9	𲓙	wglb
U+324DA	𲓚	taqv
U+324DB	𲓛	agwa
U+324DC	𲓜	fmb
U+324DD	𲓝	fwu
U+324DE	𲓞	rfj
