4E00	一	ggll
4E01	丁	sgh
4E02	丂	gnv
4E03	七	agn
4E04	丄	hgd
4E05	丅	ghk
4E06	丆	dgt
4E07	万	gqe
4E08	丈	dyi
4E09	三	dggg
4E0A	上	hgd
4E0B	下	ghi
4E0C	丌	gjk
4E0D	不	dhi
4E0E	与	gngd
4E0F	丏	ghnn
4E10	丐	ghnv
4E11	丑	nhfd
4E12	丒	vygf
4E13	专	fnyi
4E14	且	egd
4E15	丕	dhgf
4E16	世	anv
4E17	丗	gkgd
4E18	丘	rgd
4E19	丙	gmwi
4E1A	业	ogd
4E1B	丛	wwgf
4E1C	东	aii
4E1D	丝	xxgf
4E1E	丞	bigf
4E1F	丟	gcu
4E20	丠	uxgf
4E21	両	gmmk
4E22	丢	tfcu
4E23	丣	gjan
4E24	两	gmww
4E25	严	godr
4E26	並	uogf
4E27	丧	fueu
4E28	丨	hhll
4E29	丩	nhk
4E2A	个	whj
4E2B	丫	uhk
4E2C	丬	uygh
4E2D	中	khk
4E2E	丮	ngk
4E2F	丯	ehk
4E30	丰	dhk
4E31	丱	njhg
4E32	串	kkhk
4E33	丳	kkjk
4E34	临	jtyg
4E35	丵	oguf
4E36	丶	yyll
4E37	丷	uyt
4E38	丸	vyi
4E39	丹	myd
4E3A	为	ytny
4E3B	主	ygd
4E3C	丼	fjyi
4E3D	丽	gmyy
4E3E	举	igwg
4E3F	丿	ttll
4E40	乀	yyll
4E41	乁	yyll
4E42	乂	rty
4E43	乃	bnt
4E44	乄	nyi
4E45	久	qyi
4E46	乆	nwi
4E47	乇	tav
4E48	么	tcu
4E49	义	yri
4E4A	乊	tur
4E4B	之	pppp
4E4C	乌	qngd
4E4D	乍	thff
4E4E	乎	tufk
4E4F	乏	tpu
4E50	乐	tnii
4E51	乑	ithy
4E52	乒	rgtr
4E53	乓	rgyu
4E54	乔	tdjj
4E55	乕	rfmh
4E56	乖	tfux
4E57	乗	tgai
4E58	乘	tuxv
4E59	乙	nnll
4E5A	乚	nnll
4E5B	乛	nnll
4E5C	乜	nnv
4E5D	九	vtn
4E5E	乞	tnb
4E5F	也	bnhn
4E60	习	nud
4E61	乡	xte
4E62	乢	mnn
4E63	乣	xnn
4E64	乤	ghnb
4E65	乥	tunb
4E66	书	nnhy
4E67	乧	ufnb
4E68	乨	cknn
4E69	乩	hknn
4E6A	乪	nld
4E6B	乫	eknb
4E6C	乬	annb
4E6D	乭	dnb
4E6E	乮	qtbn
4E6F	乯	tufn
4E70	买	nudu
4E71	乱	tdnn
4E72	乲	uqwn
4E73	乳	ebnn
4E74	乴	rrnb
4E75	乵	ufnn
4E76	乶	gehn
4E77	乷	iitn
4E78	乸	bxi
4E79	乹	fjfn
4E7A	乺	rnrn
4E7B	乻	ywun
4E7C	乼	iygn
4E7D	乽	ftjn
4E7E	乾	fjfn
4E7F	乿	exin
4E80	亀	qjjn
4E81	亁	fjfn
4E82	亂	ecmn
4E83	亃	oqan
4E84	亄	fpgn
4E85	亅	hhll
4E86	了	bnh
4E87	亇	qhj
4E88	予	cnhj
4E89	争	qvhj
4E8A	亊	guvh
4E8B	事	gkvh
4E8C	二	fgg
4E8D	亍	gsj
4E8E	于	gfk
4E8F	亏	fnv
4E90	亐	fnv
4E91	云	fcu
4E92	互	gxgd
4E93	亓	fjj
4E94	五	gghg
4E95	井	fjk
4E96	亖	fff
4E97	亗	mff
4E98	亘	gjgf
4E99	亙	ghng
4E9A	亚	gogd
4E9B	些	hxff
4E9C	亜	gkjg
4E9D	亝	cccf
4E9E	亞	gfgd
4E9F	亟	bkcg
4EA0	亠	yyg
4EA1	亡	ynv
4EA2	亢	ywb
4EA3	亣	yjj
4EA4	交	ywru
4EA5	亥	yntw
4EA6	亦	you
4EA7	产	ute
4EA8	亨	ykbj
4EA9	亩	ylf
4EAA	亪	yoyu
4EAB	享	ykbf
4EAC	京	ykiu
4EAD	亭	ykps
4EAE	亮	ykpw
4EAF	亯	ykjf
4EB0	亰	yjiu
4EB1	亱	ywjg
4EB2	亲	usu
4EB3	亳	ykpa
4EB4	亴	ykpv
4EB5	亵	yrve
4EB6	亶	ylkg
4EB7	亷	utvo
4EB8	亸	ykbl
4EB9	亹	yemg
4EBA	人	wwww
4EBB	亻	wth
4EBC	亼	wgf
4EBD	亽	wyu
4EBE	亾	wnv
4EBF	亿	wnn
4EC0	什	wfh
4EC1	仁	wfg
4EC2	仂	wet
4EC3	仃	wsh
4EC4	仄	dwi
4EC5	仅	wcy
4EC6	仆	why
4EC7	仇	wvn
4EC8	仈	wwy
4EC9	仉	wwn
4ECA	今	wynb
4ECB	介	wjj
4ECC	仌	wwu
4ECD	仍	wbt
4ECE	从	wwy
4ECF	仏	wcy
4ED0	仐	wfj
4ED1	仑	wxb
4ED2	仒	wuu
4ED3	仓	wbb
4ED4	仔	wbg
4ED5	仕	wfg
4ED6	他	wbn
4ED7	仗	wdyy
4ED8	付	wfy
4ED9	仙	wmh
4EDA	仚	wmj
4EDB	仛	wtan
4EDC	仜	wag
4EDD	仝	waf
4EDE	仞	wvyy
4EDF	仟	wtfh
4EE0	仠	wfh
4EE1	仡	wtnn
4EE2	仢	wqyy
4EE3	代	wayy
4EE4	令	wycu
4EE5	以	nywy
4EE6	仦	wiy
4EE7	仧	hgwu
4EE8	仨	wdg
4EE9	仩	whgg
4EEA	仪	wyry
4EEB	仫	wtcy
4EEC	们	wun
4EED	仭	wvyy
4EEE	仮	wrcy
4EEF	仯	witt
4EF0	仰	wqbh
4EF1	仱	wwyn
4EF2	仲	wkhh
4EF3	仳	wxxn
4EF4	仴	weg
4EF5	仵	wtfh
4EF6	件	wtgh
4EF7	价	wwjh
4EF8	仸	wtdy
4EF9	仹	wdhh
4EFA	仺	wagf
4EFB	任	wtfg
4EFC	仼	wgg
4EFD	份	wwvt
4EFE	仾	wgxg
4EFF	仿	wyt
4F00	伀	wwcy
4F01	企	whf
4F02	伂	wgmh
4F03	伃	wcnh
4F04	伄	wxhh
4F05	伅	wgbn
4F06	伆	wqrt
4F07	伇	wwcy
4F08	伈	wny
4F09	伉	wywn
4F0A	伊	wvtt
4F0B	伋	wbyy
4F0C	伌	wdbn
4F0D	伍	wgg
4F0E	伎	wfcy
4F0F	伏	wdyy
4F10	伐	way
4F11	休	wsy
4F12	伒	wrh
4F13	伓	wdhy
4F14	伔	wpwn
4F15	伕	wfwy
4F16	伖	wdcy
4F17	众	wwwu
4F18	优	wdny
4F19	伙	woy
4F1A	会	wfcu
4F1B	伛	wary
4F1C	伜	wvfh
4F1D	伝	wfcy
4F1E	伞	wufj
4F1F	伟	wfnh
4F20	传	wfny
4F21	伡	wlh
4F22	伢	waht
4F23	伣	wmqn
4F24	伤	wtet
4F25	伥	wtay
4F26	伦	wwxn
4F27	伧	wwbn
4F28	伨	wqug
4F29	伩	wyy
4F2A	伪	wyty
4F2B	伫	wpgg
4F2C	伬	wnyy
4F2D	伭	wyxy
4F2E	伮	wvcy
4F2F	伯	wrg
4F30	估	wdg
4F31	伱	wwiy
4F32	伲	wnxn
4F33	伳	wann
4F34	伴	wugh
4F35	伵	wlg
4F36	伶	wwyc
4F37	伷	wmg
4F38	伸	wjhh
4F39	伹	wegg
4F3A	伺	wngk
4F3B	伻	wguf
4F3C	似	wnyw
4F3D	伽	wekg
4F3E	伾	wdhg
4F3F	伿	wkwy
4F40	佀	whnn
4F41	佁	wckg
4F42	佂	wghg
4F43	佃	wlg
4F44	佄	wafg
4F45	佅	wfiy
4F46	但	wjgg
4F47	佇	wpsh
4F48	佈	wdmh
4F49	佉	wfcy
4F4A	佊	whcy
4F4B	佋	wvkg
4F4C	佌	whxn
4F4D	位	wug
4F4E	低	wqay
4F4F	住	wygg
4F50	佐	wdag
4F51	佑	wdkg
4F52	佒	wmdy
4F53	体	wsgg
4F54	佔	whkg
4F55	何	wskg
4F56	佖	wntt
4F57	佗	wpxn
4F58	佘	wfiu
4F59	余	wgsu
4F5A	佚	wrwy
4F5B	佛	wxjh
4F5C	作	wthf
4F5D	佝	wqkg
4F5E	佞	wfvg
4F5F	佟	wtuy
4F60	你	wqiy
4F61	佡	wwmh
4F62	佢	wang
4F63	佣	wehh
4F64	佤	wgny
4F65	佥	wgig
4F66	佦	wdg
4F67	佧	whgh
4F68	佨	wqnn
4F69	佩	wwgh
4F6A	佪	wlkg
4F6B	佫	wtkg
4F6C	佬	wftx
4F6D	佭	wtah
4F6E	佮	wwgk
4F6F	佯	wugh
4F70	佰	wdjg
4F71	佱	wfhf
4F72	佲	wqkg
4F73	佳	wffg
4F74	佴	wbg
4F75	併	wuah
4F76	佶	wfkg
4F77	佷	wvey
4F78	佸	wtdg
4F79	佹	wqdb
4F7A	佺	wwgg
4F7B	佻	wqiy
4F7C	佼	wywr
4F7D	佽	wuqw
4F7E	佾	wweg
4F7F	使	wgkr
4F80	侀	wgaj
4F81	侁	wtfq
4F82	侂	wota
4F83	侃	wkkn
4F84	侄	wgcf
4F85	侅	wynw
4F86	來	swwi
4F87	侇	wgxw
4F88	侈	wqqy
4F89	侉	wdfn
4F8A	侊	wigq
4F8B	例	wgqj
4F8C	侌	wync
4F8D	侍	wffy
4F8E	侎	woy
4F8F	侏	wriy
4F90	侐	wtlg
4F91	侑	wdeg
4F92	侒	wpvg
4F93	侓	wvgh
4F94	侔	wctg
4F95	侕	wdmj
4F96	侖	wgma
4F97	侗	wmgk
4F98	侘	wpta
4F99	侙	waay
4F9A	侚	wqjg
4F9B	供	wawy
4F9C	侜	wtey
4F9D	依	wyey
4F9E	侞	wvkg
4F9F	侟	wdhb
4FA0	侠	wgud
4FA1	価	wsg
4FA2	侢	wgmf
4FA3	侣	wkkg
4FA4	侤	wftn
4FA5	侥	watq
4FA6	侦	whmy
4FA7	侧	wmjh
4FA8	侨	wtdj
4FA9	侩	wwfc
4FAA	侪	wyjh
4FAB	侫	wynv
4FAC	侬	wpey
4FAD	侭	wnyu
4FAE	侮	wtxy
4FAF	侯	wntd
4FB0	侰	wvtk
4FB1	侱	wkgg
4FB2	侲	wdfe
4FB3	侳	wwwf
4FB4	侴	wgnj
4FB5	侵	wvpc
