U+3435	㐵
U+3440	㑀
U+344A	㑊
U+344C	㑌
U+3464	㑤
U+3473	㑳
U+347A	㑺
U+347D	㑽
U+347E	㑾
U+3493	㒓
U+3496	㒖
U+34A5	㒥
U+34AF	㒯
U+34BC	㒼
U+34C1	㓁
U+34C8	㓈
U+34DF	㓟
U+34E4	㓤
U+34E6	㓦
U+34FB	㓻
U+3506	㔆
U+353E	㔾
U+3551	㕑
U+3553	㕓
U+3559	㕙
U+3561	㕡
U+356D	㕭
U+3570	㕰
U+3572	㕲
U+3577	㕷
U+3578	㕸
U+3584	㖄
U+3597	㖗
U+3598	㖘
U+35A1	㖡
U+35A5	㖥
U+35AD	㖭
U+35BF	㖿
U+35C1	㗁
U+35C5	㗅
U+35C7	㗇
U+35CA	㗊
U+35CE	㗎
U+35D2	㗒
U+35D6	㗖
U+35DB	㗛
U+35DD	㗝
U+35F1	㗱
U+35F2	㗲
U+35F3	㗳
U+35FB	㗻
U+35FE	㗾
U+3609	㘉
U+3618	㘘
U+361A	㘚
U+3623	㘣
U+3625	㘥
U+362D	㘭
U+3635	㘵
U+3639	㘹
U+363E	㘾
U+3647	㙇
U+3648	㙈
U+3649	㙉
U+364E	㙎
U+365F	㙟
U+3661	㙡
U+367A	㙺
U+3681	㚁
U+369A	㚚
U+36A5	㚥
U+36AA	㚪
U+36AC	㚬
U+36B0	㚰
U+36B1	㚱
U+36B5	㚵
U+36B9	㚹
U+36BC	㚼
U+36C1	㛁
U+36C3	㛃
U+36C4	㛄
U+36C5	㛅
U+36C7	㛇
U+36C8	㛈
U+36D3	㛓
U+36D4	㛔
U+36D6	㛖
U+36DD	㛝
U+36E1	㛡
U+36E2	㛢
U+36E5	㛥
U+36E6	㛦
U+36F5	㛵
U+3701	㜁
U+3703	㜃
U+3708	㜈
U+370A	㜊
U+370D	㜍
U+371C	㜜
U+3722	㜢
U+3723	㜣
U+3725	㜥
U+372C	㜬
U+372D	㜭
U+3730	㜰
U+3732	㜲
U+3733	㜳
U+373A	㜺
U+3740	㝀
U+3743	㝃
U+3762	㝢
U+376F	㝯
U+3797	㞗
U+37A0	㞠
U+37B9	㞹
U+37BE	㞾
U+37D6	㟖
U+37F2	㟲
U+37F8	㟸
U+37FB	㟻
U+380F	㠏
U+3819	㠙
U+3820	㠠
U+382D	㠭
U+3836	㠶
U+3838	㠸
U+3863	㡣
U+3875	㡵
U+38A0	㢠
U+38C3	㣃
U+38CC	㣌
U+38D1	㣑
U+38D4	㣔
U+38FA	㣺
U+3908	㤈
U+3914	㤔
U+3927	㤧
U+3932	㤲
U+393F	㤿
U+394D	㥍
U+3963	㥣
U+3978	㥸
U+3980	㦀
U+3989	㦉
U+398A	㦊
U+3992	㦒
U+3999	㦙
U+399B	㦛
U+39A1	㦡
U+39A4	㦤
U+39B8	㦸
U+39DC	㧜
U+39E2	㧢
U+39E5	㧥
U+39EC	㧬
U+39F8	㧸
U+39FB	㧻
U+39FE	㧾
U+3A01	㨁
U+3A03	㨃
U+3A06	㨆
U+3A17	㨗
U+3A18	㨘
U+3A29	㨩
U+3A2A	㨪
U+3A34	㨴
U+3A4B	㩋
U+3A52	㩒
U+3A57	㩗
U+3A5C	㩜
U+3A5E	㩞
U+3A66	㩦
U+3A67	㩧
U+3A97	㪗
U+3AAB	㪫
U+3ABD	㪽
U+3ADE	㫞
U+3AE0	㫠
U+3AF0	㫰
U+3AF2	㫲
U+3AF5	㫵
U+3AFB	㫻
U+3B0E	㬎
U+3B19	㬙
U+3B22	㬢
U+3B2B	㬫
U+3B39	㬹
U+3B42	㭂
U+3B58	㭘
U+3B60	㭠
U+3B71	㭱
U+3B72	㭲
U+3B7B	㭻
U+3B7C	㭼
U+3B80	㮀
U+3B95	㮕
U+3B96	㮖
U+3B99	㮙
U+3BA1	㮡
U+3BBC	㮼
U+3BBE	㮾
U+3BC2	㯂
U+3BC4	㯄
U+3BD7	㯗
U+3BDD	㯝
U+3BEC	㯬
U+3BF2	㯲
U+3BF3	㯳
U+3BF4	㯴
U+3C0D	㰍
U+3C11	㰑
U+3C15	㰕
U+3C18	㰘
U+3C54	㱔
U+3C8B	㲋
U+3CCB	㳋
U+3CCD	㳍
U+3CD1	㳑
U+3CD6	㳖
U+3CDC	㳜
U+3CEB	㳫
U+3CEF	㳯
U+3D12	㴒
U+3D13	㴓
U+3D32	㴲
U+3D3B	㴻
U+3D46	㵆
U+3D4C	㵌
U+3D4E	㵎
U+3D51	㵑
U+3D5F	㵟
U+3D62	㵢
U+3D69	㵩
U+3D6A	㵪
U+3D6F	㵯
U+3D75	㵵
U+3D7D	㵽
U+3D85	㶅
U+3D88	㶈
U+3D8A	㶊
U+3D8F	㶏
U+3D91	㶑
U+3DA5	㶥
U+3DAD	㶭
U+3DB4	㶴
U+3DBF	㶿
U+3DC6	㷆
U+3DC7	㷇
U+3DC9	㷉
U+3DCC	㷌
U+3DCD	㷍
U+3DD3	㷓
U+3DDB	㷛
U+3DE7	㷧
U+3DE8	㷨
U+3DEB	㷫
U+3DF3	㷳
U+3DF4	㷴
U+3DF7	㷷
U+3DFC	㷼
U+3DFD	㷽
U+3E06	㸆
U+3E40	㹀
U+3E43	㹃
U+3E48	㹈
U+3E55	㹕
U+3E74	㹴
U+3EA8	㺨
U+3EA9	㺩
U+3EAA	㺪
U+3EAD	㺭
U+3EB1	㺱
U+3EB8	㺸
U+3EBF	㺿
U+3EC2	㻂
U+3EC7	㻇
U+3ECA	㻊
U+3ECC	㻌
U+3ED0	㻐
U+3ED1	㻑
U+3ED6	㻖
U+3ED7	㻗
U+3EDA	㻚
U+3EDB	㻛
U+3EDE	㻞
U+3EE1	㻡
U+3EE2	㻢
U+3EE7	㻧
U+3EE9	㻩
U+3EEB	㻫
U+3EEC	㻬
U+3EF0	㻰
U+3EF3	㻳
U+3EF4	㻴
U+3EFA	㻺
U+3EFC	㻼
U+3EFF	㻿
U+3F00	㼀
U+3F04	㼄
U+3F06	㼆
U+3F07	㼇
U+3F0E	㼎
U+3F53	㽓
U+3F58	㽘
U+3F59	㽙
U+3F63	㽣
U+3F7C	㽼
U+3F93	㾓
U+3FC0	㿀
U+3FC8	㿈
U+3FD7	㿗
U+3FDC	㿜
U+3FE5	㿥
U+3FED	㿭
U+3FF9	㿹
U+3FFA	㿺
U+4004	䀄
U+4009	䀉
U+401D	䀝
U+4039	䀹
U+4045	䁅
U+4053	䁓
U+4057	䁗
U+4062	䁢
U+4065	䁥
U+406A	䁪
U+406F	䁯
U+4071	䁱
U+40A8	䂨
U+40B4	䂴
U+40BB	䂻
U+40BF	䂿
U+40C8	䃈
U+40D8	䃘
U+40DF	䃟
U+40F8	䃸
U+40FA	䃺
U+4102	䄂
U+4103	䄃
U+4104	䄄
U+4109	䄉
U+410E	䄎
U+4131	䄱
U+4132	䄲
U+4167	䅧
U+416C	䅬
U+416E	䅮
U+417C	䅼
U+417F	䅿
U+4181	䆁
U+4190	䆐
U+41B2	䆲
U+41C4	䇄
U+41CA	䇊
U+41CF	䇏
U+41DB	䇛
U+41ED	䇭
U+41EF	䇯
U+41F9	䇹
U+4211	䈑
U+4223	䈣
U+4240	䉀
U+4260	䉠
U+426A	䉪
U+4276	䉶
U+427A	䉺
U+428C	䊌
U+4294	䊔
U+42A2	䊢
U+42B5	䊵
U+42B9	䊹
U+42BC	䊼
U+42F4	䋴
U+42FB	䋻
U+42FC	䋼
U+430A	䌊
U+432B	䌫
U+436E	䍮
U+4397	䎗
U+439A	䎚
U+43BA	䎺
U+43C1	䏁
U+43D9	䏙
U+43DF	䏟
U+43ED	䏭
U+43F0	䏰
U+43F2	䏲
U+4401	䐁
U+4402	䐂
U+4413	䐓
U+4425	䐥
U+442D	䐭
U+447A	䑺
U+448F	䒏
U+4491	䒑
U+449F	䒟
U+44A0	䒠
U+44A2	䒢
U+44B0	䒰
U+44B7	䒷
U+44BD	䒽
U+44C0	䓀
U+44C3	䓃
U+44C5	䓅
U+44CE	䓎
U+44DD	䓝
U+44DE	䓞
U+44DF	䓟
U+44E1	䓡
U+44E4	䓤
U+44E9	䓩
U+44EA	䓪
U+44EB	䓫
U+44EC	䓬
U+44F4	䓴
U+4503	䔃
U+4504	䔄
U+4509	䔉
U+450B	䔋
U+4516	䔖
U+451B	䔛
U+451D	䔝
U+4527	䔧
U+452E	䔮
U+4533	䔳
U+4536	䔶
U+453B	䔻
U+453D	䔽
U+453F	䔿
U+4543	䕃
U+4551	䕑
U+4552	䕒
U+4555	䕕
U+4558	䕘
U+455C	䕜
U+4561	䕡
U+4562	䕢
U+456A	䕪
U+456D	䕭
U+4577	䕷
U+4578	䕸
U+4585	䖅
U+45A6	䖦
U+45B3	䖳
U+45DA	䗚
U+45E9	䗩
U+45EA	䗪
U+4603	䘃
U+4606	䘆
U+460F	䘏
U+4615	䘕
U+4617	䘗
U+465B	䙛
U+467A	䙺
U+4680	䚀
U+46A1	䚡
U+46AE	䚮
U+46BB	䚻
U+46CF	䛏
U+46D0	䛐
U+46F5	䛵
U+46F7	䛷
U+4713	䜓
U+4718	䜘
U+4736	䜶
U+4744	䝄
U+474E	䝎
U+474F	䝏
U+477C	䝼
U+4798	䞘
U+47A6	䞦
U+47D5	䟕
U+47ED	䟭
U+47F4	䟴
U+4800	䠀
U+480B	䠋
U+4837	䠷
U+485D	䡝
U+4871	䡱
U+489B	䢛
U+48AD	䢭
U+48AE	䢮
U+48D0	䣐
U+48DD	䣝
U+48ED	䣭
U+48F3	䣳
U+48FA	䣺
U+4906	䤆
U+4911	䤑
U+491E	䤞
U+4925	䤥
U+492A	䤪
U+492D	䤭
U+492F	䤯
U+4930	䤰
U+4935	䤵
U+493C	䤼
U+493E	䤾
U+4945	䥅
U+4951	䥑
U+4953	䥓
U+4965	䥥
U+496A	䥪
U+4972	䥲
U+4989	䦉
U+49A1	䦡
U+49A7	䦧
U+49DF	䧟
U+49E5	䧥
U+49E7	䧧
U+4A0F	䨏
U+4A1D	䨝
U+4A24	䨤
U+4A35	䨵
U+4A96	䪖
U+4AA4	䪤
U+4AB4	䪴
U+4AB8	䪸
U+4AD1	䫑
U+4AE4	䫤
U+4AFF	䫿
U+4B10	䬐
U+4B19	䬙
U+4B20	䬠
U+4B2C	䬬
U+4B37	䬷
U+4B6F	䭯
U+4B70	䭰
U+4B72	䭲
U+4B7B	䭻
U+4B7E	䭾
U+4B8E	䮎
U+4B90	䮐
U+4B93	䮓
U+4B96	䮖
U+4B97	䮗
U+4B9D	䮝
U+4BBD	䮽
U+4BBE	䮾
U+4BC0	䯀
U+4C04	䰄
U+4C07	䰇
U+4C0E	䰎
U+4C32	䰲
U+4C3B	䰻
U+4C3E	䰾
U+4C40	䱀
U+4C47	䱇
U+4C57	䱗
U+4C5B	䱛
U+4C6D	䱭
U+4C77	䱷
U+4C7B	䱻
U+4C7D	䱽
U+4C81	䲁
U+4C85	䲅
U+4CAE	䲮
U+4CB0	䲰
U+4CB7	䲷
U+4CCD	䳍
U+4CE1	䳡
U+4CE2	䳢
U+4CED	䳭
U+4D07	䴇
U+4D09	䴉
U+4D10	䴐
U+4D34	䴴
U+4D76	䵶
U+4D77	䵷
U+4D89	䶉
U+4D91	䶑
U+4D9C	䶜
U+4E00	一
U+4E01	丁
U+4E03	七
U+4E04	丄
U+4E07	万
U+4E08	丈
U+4E09	三
U+4E0A	上
U+4E0B	下
U+4E0C	丌
U+4E0D	不
U+4E0E	与
U+4E0F	丏
U+4E10	丐
U+4E11	丑
U+4E14	且
U+4E15	丕
U+4E16	世
U+4E18	丘
U+4E19	丙
U+4E1A	业
U+4E1C	东
U+4E1E	丞
U+4E1F	丟
U+4E21	両
U+4E24	两
U+4E26	並
U+4E28	丨
U+4E2A	个
U+4E2B	丫
U+4E2C	丬
U+4E2D	中
U+4E2E	丮
U+4E2F	丯
U+4E30	丰
U+4E31	丱
U+4E32	串
U+4E33	丳
U+4E36	丶
U+4E37	丷
U+4E38	丸
U+4E39	丹
U+4E3B	主
U+4E3C	丼
U+4E3D	丽
U+4E3F	丿
U+4E42	乂
U+4E43	乃
U+4E45	久
U+4E47	乇
U+4E48	么
U+4E49	义
U+4E4B	之
U+4E4D	乍
U+4E4E	乎
U+4E4F	乏
U+4E52	乒
U+4E53	乓
U+4E56	乖
U+4E58	乘
U+4E59	乙
U+4E5A	乚
U+4E5B	乛
U+4E5C	乜
U+4E5D	九
U+4E5E	乞
U+4E5F	也
U+4E69	乩
U+4E6A	乪
U+4E73	乳
U+4E78	乸
U+4E7E	乾
